category,manufacturer,avg_discount_pct,times_discounted,total_observations,discount_frequency
BAG SNACKS,SHULTZ,13.792031727620087,7926,14656,54.08
BAG SNACKS,SNYDER S,5.456464382440008,10344,31754,32.58
BAG SNACKS,PRIVATE LABEL,2.4900332783903605,7396,35188,21.02
BAG SNACKS,MKSL,3.1526819306930696,2682,13736,19.53
BAG SNACKS,FRITO LAY,1.961644328934263,2869,32128,8.93
COLD CEREAL,QUAKER,6.870515145631068,8373,30900,27.1
COLD CEREAL,GENERAL MI,6.602340352731724,9522,35948,26.49
COLD CEREAL,PRIVATE LABEL,3.1855982675059886,8410,35902,23.42
COLD CEREAL,KELLOGG,5.094588412592096,7959,35832,22.21
COLD CEREAL,POST FOODS,3.088552608737583,4318,31107,13.88
FROZEN PIZZA,TOMBSTONE,8.606984555443436,13566,35676,38.03
FROZEN PIZZA,TONYS,8.233258087980602,8652,28870,29.97
FROZEN PIZZA,PRIVATE LABEL,4.250953016688062,8149,35055,23.25
FROZEN PIZZA,KING,2.544840089125032,1196,11669,10.25
ORAL HYGIENE PRODUCTS,P & G,7.823415895682489,10905,29832,36.55
ORAL HYGIENE PRODUCTS,PRIVATE LABEL,12.262125293036814,10273,31566,32.54
ORAL HYGIENE PRODUCTS,WARNER,6.069779393632829,8853,31631,27.99
ORAL HYGIENE PRODUCTS,COLGATE,4.827443173695497,241,1399,17.23
ORAL HYGIENE PRODUCTS,CHATTEM,2.221001447898285,3206,22101,14.51
